,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,#Change these outputs in the simulator to get to the correct data.
0,9,19,0,16,0,-1,1,
1,K,21,0,11,1,-1,0,
2,5,20,0,6,1,-1,0,
3,10,19,0,11,1,-1,0,
4,7,19,0,14,0,-1,1,
5,Q,23,1,17,0,1,0,
6,4,22,1,16,0,1,0,
7,A,21,0,10,0,-1,1,
8,7,17,0,21,0,1,0,
9,4,24,1,18,0,1,0,
10,10,20,0,18,0,-1,1,
11,10,20,0,17,0,-1,1,
12,10,19,0,13,0,-1,1,
13,A,18,0,13,0,-1,1,
14,A,18,0,12,0,-1,1,
15,4,23,1,14,0,1,0,
16,4,19,0,12,0,-1,1,
17,7,18,0,17,0,-1,1,
18,7,17,0,20,0,1,0,
19,9,26,1,21,0,1,0,
20,2,18,0,10,1,1,1,
21,4,17,0,16,0,-1,1,
22,8,18,0,20,0,1,0,
23,5,23,1,16,0,1,0,
24,7,17,0,9,1,0,1,
25,9,23,1,16,0,1,0,
26,K,26,1,12,0,1,0,
27,3,23,1,10,1,1,1,
28,10,24,1,7,1,1,1,
29,A,22,1,11,1,1,1,
30,10,17,0,12,0,-1,1,
31,2,21,0,19,0,-1,1,
32,A,21,0,16,0,-1,1,
33,J,18,0,19,0,1,0,
34,K,17,0,11,1,-1,0,
35,4,17,0,20,0,1,0,
36,J,25,1,20,0,1,0,
37,8,19,0,20,0,1,0,
38,9,18,0,20,0,1,0,
39,2,19,0,19,0,0,0,
40,K,23,1,18,0,1,0,
41,2,20,0,20,0,0,0,
42,A,20,0,15,0,-1,1,
43,K,17,0,8,1,1,1,
44,6,25,1,14,0,1,0,
45,9,18,0,21,0,1,0,
46,8,25,1,20,0,1,0,
47,8,18,0,17,0,-1,1,
48,6,20,0,15,0,-1,1,
49,4,17,0,20,0,1,0,
50,10,17,0,13,0,-1,1,
51,9,19,0,14,0,-1,1,
52,A,21,0,4,0,-1,1,
53,6,21,0,13,0,-1,1,
54,9,19,0,13,0,-1,1,
55,2,20,0,15,0,-1,1,
56,Q,21,0,14,0,-1,1,
57,K,20,0,12,0,-1,1,
58,A,22,1,13,0,1,0,
59,5,17,0,11,1,1,1,
60,6,20,0,15,0,-1,1,
61,6,21,0,16,0,-1,1,
62,Q,26,1,19,0,1,0,
63,Q,22,1,13,0,1,0,
64,J,21,0,16,0,-1,1,
65,8,25,1,12,0,1,0,
66,4,17,0,20,0,1,0,
67,10,20,0,10,1,1,1,
68,9,22,1,11,1,1,1,
69,9,17,0,16,0,-1,1,
70,10,25,1,21,0,1,0,
71,6,21,0,14,0,-1,1,
72,4,24,1,13,0,1,0,
73,K,17,0,17,0,0,0,
74,J,20,0,20,0,0,0,
75,6,25,1,21,0,1,0,
76,5,19,0,18,0,-1,1,
77,9,22,1,18,0,1,0,
78,J,20,0,7,1,-1,0,
79,2,18,0,14,0,-1,1,
80,10,20,0,18,0,-1,1,
81,5,17,0,10,1,1,1,
82,4,19,0,15,0,-1,1,
83,2,20,0,21,0,1,0,
84,9,19,0,15,0,-1,1,
85,8,18,0,13,0,-1,1,
86,3,24,1,13,0,1,0,
87,A,19,0,17,0,-1,1,
88,K,26,1,12,0,1,0,
89,K,20,0,12,0,-1,1,
90,10,21,0,14,0,-1,1,
91,3,23,1,15,0,1,0,
92,9,25,1,18,0,1,0,
93,2,21,0,15,0,-1,1,
94,Q,19,0,18,0,-1,1,
95,10,21,0,16,0,-1,1,
96,Q,20,0,8,1,-1,0,
97,7,18,0,5,1,-1,0,
98,7,18,0,16,0,-1,1,
99,10,19,0,12,0,-1,1,
100,J,18,0,15,0,-1,1,
101,4,20,0,14,0,-1,1,
102,6,23,1,20,0,1,0,
