,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
0,8,18,0,18,1,-1.0,0
1,7,21,0,12,2,-1.0,0
2,4,22,1,20,1,-1.0,0
3,8,17,0,13,1,1.0,1
4,7,24,1,17,1,-1.0,0
5,3,22,1,12,2,-1.0,0
6,7,18,0,20,1,-1.0,0
7,10,24,1,14,1,-1.0,0
8,J,19,0,12,2,1.0,1
9,2,24,1,14,4,-1.0,0
10,Q,20,0,14,2,-1.0,0
11,K,20,0,18,3,-1.0,0
12,9,21,0,7,2,-1.0,0
13,10,20,0,18,1,-1.0,0
14,5,18,0,17,1,-1.0,0
15,4,22,1,15,4,-1.0,0
16,5,20,0,5,4,0.0,1
17,A,20,0,13,1,-1.0,0
18,K,20,0,16,1,-1.0,0
19,Q,19,0,9,2,-1.0,0
20,2,23,1,12,1,-1.0,0
21,8,18,0,18,1,-1.0,0
22,K,21,0,15,1,-1.0,0
23,2,26,1,21,0,1.0,0
24,6,23,1,13,1,1.0,1
25,10,18,0,8,2,-1.0,0
26,4,20,0,17,1,-1.0,0
27,8,18,0,15,2,-1.0,0
28,J,19,0,21,0,1.0,0
29,2,20,0,18,1,-1.0,0
30,9,19,0,13,0,-1.0,1
31,7,17,0,17,1,1.0,1
32,J,20,0,12,0,-1.0,1
33,6,26,1,9,3,-1.0,0
34,8,21,0,13,2,-1.0,0
35,K,18,0,20,1,-1.0,0
36,J,19,0,12,0,-1.0,1
37,J,20,0,16,1,-1.0,0
38,9,21,0,20,1,-1.0,0
39,2,22,1,13,1,-1.0,0
40,6,18,0,12,1,-1.0,0
41,9,19,0,13,0,-1.0,1
42,8,19,0,10,2,-1.0,0
43,9,23,1,12,2,-1.0,0
44,A,21,0,11,0,-1.0,1
45,K,24,1,15,1,-1.0,0
46,5,18,0,20,0,1.0,0
47,Q,20,0,20,1,-1.0,0
48,7,17,0,14,2,-1.0,0
49,A,18,0,12,0,-1.0,1
50,3,21,0,11,2,-1.0,0
51,8,18,0,12,2,-1.0,0
52,5,21,0,21,0,0.0,0
53,A,19,0,13,0,-1.0,1
54,4,22,1,18,1,-1.0,0
55,9,23,1,12,3,-1.0,0
56,Q,17,0,15,1,-1.0,0
57,6,26,1,13,2,-1.0,0
58,Q,20,0,16,1,-1.0,0
59,A,21,0,20,0,-1.0,1
60,6,17,0,16,1,1.0,1
61,3,20,0,11,2,-1.0,0
62,9,17,0,8,2,-1.0,0
63,J,17,0,15,1,1.0,1
64,8,23,1,11,1,1.0,1
65,K,19,0,12,0,-1.0,1
66,J,19,0,13,0,-1.0,1
67,J,18,0,11,3,-1.0,0
68,4,19,0,11,3,-1.0,0
69,5,17,0,19,2,-1.0,0
70,A,17,0,8,2,-1.0,0
71,10,20,0,19,2,-1.0,0
72,9,19,0,8,4,-1.0,0
73,A,19,0,20,1,-1.0,0
74,5,25,1,21,0,1.0,0
75,10,17,0,10,2,-1.0,0
76,6,21,0,16,1,-1.0,0
77,K,21,0,17,0,-1.0,1
78,A,18,0,13,1,-1.0,0
79,4,17,0,16,2,-1.0,0
80,7,17,0,15,1,-1.0,0
81,5,22,1,12,2,-1.0,0
82,9,20,0,20,1,-1.0,0
