,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,,Epoc Number,20,30,40,50,200
0,3,21,0,12,2,-1,0,,Win,47890,46633,47890,48020,48100
1,10,26,1,15,1,-1,0,,Loss,205989,204909,200389,202989,203098
2,K,24,1,21,0,1,0,,Tie,41309,44002,41450,41590,41690
3,Q,20,0,13,0,-1,1,,,292888,,,,
4,2,22,1,10,4,1,1,,,,,,,
5,J,17,0,12,0,-1,1,,,,,,,
6,6,18,0,17,1,-1,0,,,,,,,
7,6,19,0,16,1,-1,0,,,,,,,
8,Q,20,0,14,0,-1,1,,,,,,,
9,Q,17,0,19,1,-1,0,,,,,,,
10,6,20,0,16,1,-1,0,,,,,,,
11,5,18,0,18,1,-1,0,,,,,,,
12,10,20,0,9,1,-1,0,,,,,,,
13,10,19,0,20,1,-1,0,,,,,,,
14,8,19,0,16,0,-1,1,,,,,,,
15,2,18,0,18,1,-1,0,,,,,,,
16,2,17,0,13,1,-1,0,,,,,,,
17,Q,20,0,12,0,-1,1,,,,,,,
18,9,19,0,10,1,-1,0,,,,,,,
19,Q,20,0,14,0,-1,1,,,,,,,
20,2,17,0,12,3,-1,0,,,,,,,
21,A,25,1,18,1,1,1,,,,,,,
22,7,17,0,20,1,-1,0,,,,,,,
23,K,18,0,8,1,-1,0,,,,,,,
24,Q,20,0,11,1,-1,0,,,,,,,
25,8,18,0,15,0,-1,1,,,,,,,
26,3,21,0,10,1,-1,0,,,,,,,
27,Q,17,0,10,2,-1,0,,Win Percent (Rounded),Machine Learning,Training Data,Professional Black Jack Player,,
28,8,20,0,8,4,-1,0,,Win,16%,40%,42%,,
29,2,22,1,17,2,-1,0,,Loss,68%,53%,49%,,
30,3,25,1,21,0,1,0,,Tie,13%,7%,9%,,
31,2,17,0,14,2,-1,0,,,,,,,
32,2,22,1,14,2,-1,0,,,,,,,
33,9,17,0,19,1,-1,0,,,,,,,
34,J,17,0,14,0,-1,1,,,,,,,
35,4,25,1,15,2,-1,0,,,,,,,
36,8,25,1,18,1,-1,0,,,,,,,
37,10,20,0,21,0,1,0,,,,,,,
38,10,26,1,9,2,-1,0,,,,,,,
39,5,21,0,17,3,-1,0,,,,,,,
40,K,17,0,12,0,-1,1,,,,,,,
41,9,17,0,15,0,-1,1,,,,,,,
42,Q,17,0,13,0,-1,1,,,,,,,
43,2,21,0,5,2,-1,0,,,,,,,
44,10,19,0,10,1,-1,0,,,,,,,
45,4,22,1,13,3,-1,0,,,,,,,
46,10,20,0,21,0,1,0,,,,,,,
47,Q,21,0,17,1,-1,0,,,,,,,
48,10,26,1,20,1,-1,0,,,,,,,
49,3,17,0,11,2,-1,0,,,,,,,
50,J,20,0,12,0,-1,1,,,,,,,
51,3,23,1,12,1,-1,0,,,,,,,
52,8,19,0,13,0,-1,1,,,,,,,
53,8,17,0,7,3,-1,0,,,,,,,
54,3,19,0,13,3,-1,0,,,,,,,
55,8,18,0,16,0,-1,1,,,,,,,
56,6,20,0,16,1,-1,0,,,,,,,
57,9,19,0,11,1,-1,0,,,,,,,
58,J,25,1,18,1,-1,0,,,,,,,
59,4,19,0,18,1,-1,0,,,,,,,
60,6,20,0,21,0,1,0,,,,,,,
61,5,17,0,13,2,-1,0,,,,,,,
62,K,20,0,11,1,1,1,,,,,,,
63,9,20,0,20,1,-1,0,,,,,,,
64,10,24,1,13,2,-1,0,,,,,,,
65,A,18,0,20,1,-1,0,,,,,,,
66,A,18,0,16,1,-1,0,,,,,,,
67,7,17,0,12,0,-1,1,,,,,,,
68,5,25,1,11,2,-1,0,,,,,,,
69,Q,19,0,15,0,-1,1,,,,,,,
70,2,22,1,9,3,-1,0,,,,,,,
71,3,23,1,12,2,-1,0,,,,,,,
72,2,22,1,17,1,-1,0,,,,,,,
73,J,20,0,16,0,-1,1,,,,,,,
74,4,18,0,20,1,-1,0,,,,,,,
75,K,21,0,14,2,-1,0,,,,,,,
76,5,26,1,15,1,-1,0,,,,,,,
77,9,24,1,17,1,-1,0,,,,,,,
78,A,20,0,20,1,-1,0,,,,,,,
79,K,19,0,21,0,1,0,,,,,,,
80,6,25,1,20,1,-1,0,,,,,,,
81,9,21,0,15,2,0,1,,,,,,,
82,Q,20,0,12,0,-1,1,,,,,,,
83,2,26,1,20,1,-1,0,,,,,,,
84,2,22,1,20,1,-1,0,,,,,,,
85,4,18,0,16,1,-1,0,,,,,,,
86,K,25,1,20,1,-1,0,,,,,,,
87,5,22,1,17,1,1,1,,,,,,,
88,Q,20,0,20,1,-1,0,,,,,,,
