,dealer_card,dealer_estimated_value,dealer_bust,init_hand,hit,result,outcome
0,10,17,1,10,1,1.0,1
1,3,15,1,18,1,-1.0,0
2,K,15,0,9,3,1.0,1
3,A,11,0,18,0,-1.0,1
4,5,10,0,15,1,-1.0,0
5,6,14,1,7,2,1.0,1
6,10,17,0,18,1,-1.0,0
7,9,15,0,16,1,-1.0,0
8,3,9,1,16,1,-1.0,0
9,3,8,1,9,2,-1.0,0
10,3,8,1,12,1,1.0,1
11,6,5,0,21,0,1.0,0
12,5,6,1,19,0,1.0,0
13,2,8,0,10,1,1.0,1
14,A,16,1,20,0,1.0,0
15,J,20,0,8,2,1.0,1
16,7,12,0,19,0,1.0,0
17,8,11,1,19,0,1.0,0
18,K,17,0,7,3,-1.0,0
19,8,13,0,17,1,-1.0,0
20,4,11,0,14,1,1.0,1
21,5,12,0,13,2,-1.0,0
22,2,6,1,17,1,-1.0,0
23,7,11,1,12,1,1.0,1
24,6,10,1,20,0,1.0,0
25,J,7,0,19,0,1.0,0
26,5,8,1,13,2,1.0,1
27,8,20,0,21,0,1.0,0
28,Q,21,0,20,0,1.0,0
29,8,19,0,14,1,-1.0,0
30,7,9,0,9,1,1.0,1
31,A,12,0,12,1,-1.0,0
32,10,14,0,18,1,-1.0,0
33,2,8,1,7,2,-1.0,0
34,10,12,0,14,2,-1.0,0
35,7,12,1,19,0,1.0,0
36,2,0,0,15,1,-1.0,0
37,Q,14,0,14,1,-1.0,0
38,8,13,0,18,0,-1.0,1
39,Q,14,0,18,1,1.0,1
40,10,11,0,13,1,1.0,1
41,7,14,0,13,1,-1.0,0
42,K,16,0,19,2,-1.0,0
43,10,16,0,13,2,1.0,1
44,J,21,0,18,0,-1.0,1
45,A,11,0,8,1,-1.0,0
46,5,13,1,20,0,1.0,0
47,8,17,0,17,1,-1.0,0
48,10,15,0,15,2,1.0,1
49,Q,9,1,21,0,1.0,0
50,2,6,0,18,0,-1.0,1
51,10,7,1,15,0,1.0,0
52,2,0,0,18,0,-1.0,1
53,6,7,1,14,2,-1.0,0
54,6,7,1,8,1,1.0,1
55,2,8,0,13,2,-1.0,0
56,2,9,1,13,1,1.0,1
57,J,21,0,21,0,1.0,0
58,6,16,0,14,1,-1.0,0
59,4,14,0,10,2,-1.0,0
60,4,11,0,18,0,-1.0,1
61,3,8,0,14,1,-1.0,0
62,7,7,1,12,1,1.0,1
63,3,8,0,13,3,-1.0,0
64,A,11,0,12,1,-1.0,0
65,K,15,0,17,1,-1.0,0
66,J,14,0,7,3,1.0,1
67,5,10,1,21,0,1.0,0
68,6,4,1,15,1,-1.0,0
69,K,14,1,16,2,-1.0,0
70,Q,19,0,12,1,1.0,1
71,4,8,1,16,1,-1.0,0
72,2,12,1,13,1,1.0,1
73,10,19,0,20,0,1.0,0
74,7,15,0,17,1,1.0,1
75,3,5,0,20,0,1.0,0
76,8,16,0,8,2,1.0,1
77,5,11,1,12,2,1.0,1
78,J,16,0,21,0,1.0,0
79,7,9,0,20,0,-1.0,1
80,5,9,0,9,1,1.0,1
81,10,12,0,17,1,-1.0,0
82,6,7,1,15,1,1.0,1
83,K,20,0,14,1,-1.0,0
84,7,10,1,13,1,1.0,1
85,A,22,0,18,0,-1.0,1
86,10,12,1,12,1,1.0,1
87,2,11,0,11,3,-1.0,0
88,A,14,0,16,1,-1.0,0
89,6,9,0,20,0,1.0,0
90,A,15,0,11,1,1.0,1
91,10,16,0,15,1,1.0,1
92,10,9,1,13,0,1.0,0
93,2,6,0,9,1,1.0,1
94,4,7,1,18,0,1.0,0
95,9,13,0,10,2,-1.0,0
96,10,11,0,9,1,1.0,1
97,8,21,0,9,1,1.0,1
98,K,22,0,17,0,-1.0,1
99,7,18,0,14,1,1.0,1
100,7,13,0,17,0,-1.0,1
101,5,13,0,12,1,-1.0,0
102,6,9,1,20,0,1.0,0
103,7,16,0,19,0,1.0,0
104,3,9,0,16,1,-1.0,0
105,3,4,0,15,1,-1.0,0
106,K,8,0,12,0,-1.0,1
