,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
0,7,26,1,20,0,1.0,0
1,Q,19,0,9,0,-1.0,1
2,A,18,0,11,1,-1.0,0
3,10,19,0,19,0,0.0,0
4,A,19,0,20,0,1.0,0
5,2,18,0,11,0,-1.0,1
6,6,21,0,21,0,0.0,0
7,K,20,0,12,0,-1.0,1
8,6,17,0,18,0,1.0,0
9,4,24,1,10,0,1.0,0
10,K,20,0,20,0,0.0,0
11,K,23,1,15,0,1.0,0
12,3,21,0,13,0,-1.0,1
13,K,21,0,16,0,-1.0,1
14,Q,20,0,20,0,0.0,0
15,6,21,0,13,0,-1.0,1
16,8,18,0,9,1,0.0,1
17,4,19,0,20,0,1.0,0
18,5,20,0,21,0,1.0,0
19,A,21,0,13,0,-1.0,1
20,7,23,1,17,0,1.0,0
21,J,20,0,21,0,1.0,0
22,A,20,0,10,0,-1.0,1
23,8,19,0,6,1,-1.0,0
24,5,18,0,15,0,-1.0,1
25,2,23,1,13,0,1.0,0
26,5,21,0,17,0,-1.0,1
27,Q,20,0,18,0,-1.0,1
28,K,18,0,21,0,1.0,0
29,J,18,0,13,0,-1.0,1
30,A,25,1,8,0,1.0,0
31,5,22,1,14,0,1.0,0
32,6,17,0,17,0,0.0,0
33,7,26,1,18,0,1.0,0
34,K,20,0,16,0,-1.0,1
35,7,17,0,21,0,1.0,0
36,J,17,0,20,0,1.0,0
37,2,18,0,20,0,1.0,0
38,6,22,1,19,0,1.0,0
39,4,18,0,15,0,-1.0,1
40,6,26,1,19,0,1.0,0
41,8,18,0,12,0,-1.0,1
42,8,18,0,15,0,-1.0,1
43,K,20,0,14,0,-1.0,1
44,10,22,1,17,0,1.0,0
45,5,20,0,14,0,-1.0,1
46,7,17,0,12,0,-1.0,1
47,5,18,0,10,0,-1.0,1
48,Q,18,0,19,0,1.0,0
49,9,18,0,15,0,-1.0,1
50,K,21,0,15,0,-1.0,1
51,8,18,0,9,0,-1.0,1
52,7,20,0,11,0,-1.0,1
53,3,17,0,16,0,-1.0,1
54,8,21,0,8,0,-1.0,1
55,6,24,1,16,0,1.0,0
56,K,21,0,19,0,-1.0,1
57,8,18,0,12,0,-1.0,1
58,A,21,0,20,0,-1.0,1
59,7,19,0,21,0,1.0,0
60,Q,20,0,20,0,0.0,0
61,8,25,1,4,1,1.0,1
62,K,24,1,9,0,1.0,0
63,A,20,0,16,0,-1.0,1
64,3,22,1,9,0,1.0,0
65,8,17,0,19,0,1.0,0
66,7,22,1,20,0,1.0,0
67,9,20,0,19,0,-1.0,1
68,4,20,0,20,0,0.0,0
69,8,18,0,5,1,-1.0,0
70,K,21,0,21,0,0.0,0
71,7,22,1,8,0,1.0,0
72,10,19,0,12,0,-1.0,1
73,6,18,0,19,0,1.0,0
74,K,23,1,12,0,1.0,0
75,6,17,0,8,1,1.0,1
76,K,26,1,9,0,1.0,0
77,4,19,0,18,0,-1.0,1
78,7,17,0,19,0,1.0,0
79,5,25,1,18,0,1.0,0
80,6,18,0,14,0,-1.0,1
81,4,18,0,11,1,-1.0,0
82,10,20,0,17,0,-1.0,1
83,K,18,0,13,0,-1.0,1
84,2,18,0,7,0,-1.0,1
85,A,19,0,10,1,-1.0,0
86,3,17,0,10,1,1.0,1
87,Q,24,1,17,0,1.0,0
88,A,18,0,9,0,-1.0,1
89,5,21,0,19,0,-1.0,1
90,A,20,0,14,0,-1.0,1
91,6,21,0,13,0,-1.0,1
92,6,22,1,20,0,1.0,0
93,Q,17,0,4,1,-1.0,0
94,K,20,0,19,0,-1.0,1
95,10,17,0,12,0,-1.0,1
96,Q,20,0,14,0,-1.0,1
97,5,19,0,10,0,-1.0,1
98,5,21,0,13,0,-1.0,1
99,Q,20,0,16,0,-1.0,1
100,8,18,0,13,0,-1.0,1
101,7,17,0,14,0,-1.0,1
102,10,23,1,8,1,1.0,1
103,7,18,0,16,0,-1.0,1
104,3,23,1,6,0,1.0,0
105,7,17,0,7,0,-1.0,1
106,A,18,0,19,0,1.0,0
